precinct_code,race_description,cand_name,cand_tot_votes,county_name
70013,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,420,BRYAN
70014,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,94,BRYAN
70014,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,261,BRYAN
70015,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,129,BRYAN
70015,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,474,BRYAN
70017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,124,BRYAN
70017,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,352,BRYAN
70018,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,287,BRYAN
70018,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,648,BRYAN
70019,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,217,BRYAN
70019,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,633,BRYAN
70020,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,208,BRYAN
70020,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,374,BRYAN
70021,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,154,BRYAN
70021,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,579,BRYAN
70022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,342,BRYAN
70022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,595,BRYAN
70023,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,112,BRYAN
70023,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,252,BRYAN
70025,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,286,BRYAN
70025,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,677,BRYAN
70026,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,143,BRYAN
70026,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,434,BRYAN
70027,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,247,BRYAN
70027,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,658,BRYAN
70028,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,163,BRYAN
70028,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,496,BRYAN
70029,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,41,BRYAN
70029,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,140,BRYAN
70033,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,386,BRYAN
70033,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,1108,BRYAN
80012,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,187,CADDO
80012,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,119,CADDO
80022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,219,CADDO
80022,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,174,CADDO
80031,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,156,CADDO
80031,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,124,CADDO
80041,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,294,CADDO
80041,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,402,CADDO
80051,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,470,CADDO
80051,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,545,CADDO
80102,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,289,CADDO
80102,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,572,CADDO
80509,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,127,CADDO
80509,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,282,CADDO
80510,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,182,CADDO
80510,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,494,CADDO
80511,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,332,CADDO
80511,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,AGAINST THE PROPOSAL - NO,577,CADDO
80712,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,FOR THE PROPOSAL - YES,154,CADDO
